names,scores,logfoldchanges,pvals,pvals_adj,log2fc,actual_fold_change
TRANK1,11.38743,1.7254131,4.8302608702834025e-30,8.390111193393343e-29,2.489245,5.61484
RHOG,11.323734,0.78576773,1.0011484464404962e-29,1.7204842557233805e-28,1.1336232,2.1940908
SUSD3,11.321367,1.188649,1.0285551555395849e-29,1.7638301467713857e-28,1.714858,3.2826436
CDH24,11.258336,1.8655686,2.1069944184706908e-29,3.590336269617673e-28,2.6914465,6.4596076
TAOK3,11.234858,0.5257165,2.7493788995084466e-29,4.6360612466241595e-28,0.75844854,1.6916704
STAR,11.223101,0.7253351,3.140614517114555e-29,5.284738219736305e-28,1.0464374,2.0654233
MBOAT7,11.19792,0.87547094,4.1742119756931667e-29,6.951569098489423e-28,1.2630376,2.4000053
PIK3R1,11.16301,1.5048352,6.186137643733838e-29,1.017625941923385e-27,2.1710184,4.503412
PXK,11.122411,1.5278348,9.759810701358701e-29,1.5861165198163828e-27,2.2041996,4.608188
NINJ2,11.006939,1.2883712,3.5382164488418747e-28,5.681545577991217e-27,1.8587267,3.6268742
DEF6,10.948914,1.2174735,6.7249071630416325e-28,1.0608803741384232e-26,1.756443,3.3786407
ZBTB16,10.947327,1.8400532,6.843752357278708e-28,1.0775241284549731e-26,2.6546357,6.296873
FES,10.895956,1.5959262,1.2049487235836343e-27,1.8824701818926526e-26,2.3024347,4.932895
PYGL,10.863578,1.920864,1.7187952007997866e-27,2.667343636765719e-26,2.771221,6.826854
ERV3-1,10.806003,0.79965436,3.224158024714174e-27,4.9227834339539474e-26,1.1536574,2.2247717
HSD17B4,10.787175,1.2370344,3.957667139450004e-27,6.019976927558885e-26,1.7846634,3.4453807
RILPL2,10.783806,0.9196967,4.105389072781962e-27,6.232937507680435e-26,1.3268418,2.5085294
PSMB9,10.766971,1.4215612,4.92953080459422e-27,7.470135142346625e-26,2.0508792,4.1435843
TFAP2A,10.741197,1.4868407,6.51937137489933e-27,9.78753951581076e-26,2.1450577,4.4231
PLPPR3,10.719031,0.8866825,8.286690227669378e-27,1.2394740179423254e-25,1.2792125,2.4270647
FAM89A,10.681756,0.5219107,1.2390518297659627e-26,1.8329343642893188e-25,0.752958,1.6852444
C1orf132,10.662214,1.8112819,1.5291242936318637e-26,2.249678856040904e-25,2.6131275,6.118285
IL10RB,10.593738,1.3613372,3.1861023053111267e-26,4.628443942445678e-25,1.9639944,3.901407
IDH2,10.478484,0.508059,1.0846870716460557e-25,1.5424326545220408e-24,0.73297423,1.6620619
FNBP1,10.4119425,0.91025615,2.1871186091050587e-25,3.0562901394016535e-24,1.313222,2.4849591
IKZF1,10.278971,1.0203874,8.765854341683724e-25,1.1919495878414047e-23,1.4721079,2.7742693
EFHD2,10.129227,0.9118251,4.098779669191537e-24,5.436099078499186e-23,1.3154856,2.4888608
RALGAPA2,10.044969,1.3605785,9.667874324951594e-24,1.2574463916688247e-22,1.9628999,3.8984482
USP20,10.028297,0.5793982,1.144731740902609e-23,1.4769965289569286e-22,0.83589494,1.784964
ANXA3,9.948137,1.0997746,2.5694862228247123e-23,3.273460602800505e-22,1.5866394,3.003489
TES,9.847008,1.3296254,7.061504287861263e-23,8.774733866623912e-22,1.9182439,3.779627
BTG2,9.804711,1.244297,1.0745357177529798e-22,1.32504198355585e-21,1.7951411,3.470494
F11R,9.784473,1.0616822,1.312771215450097e-22,1.616349559022932e-21,1.5316837,2.8912303
MFSD1,9.783069,0.8315668,1.3311188774591066e-22,1.6364455362613704e-21,1.1996973,2.2969148
WSB1,9.736337,0.706063,2.1102428442699805e-22,2.5785826706760412e-21,1.0186336,2.0259993
KIAA1551,9.732562,0.92725843,2.190067797864554e-22,2.6720812089655594e-21,1.3377512,2.52757
RNF130,9.731143,0.66213965,2.22084156237485e-22,2.7055410707845646e-21,0.9552656,1.9389365
SNX10,9.727822,1.0287609,2.294516719665067e-22,2.791086076014269e-21,1.4841883,2.7975974
CH17-189H20.1,9.661629,1.1455796,4.3883130928830335e-22,5.2666277639251506e-21,1.652722,3.144263
PSMD5-AS1,9.644097,0.62474585,5.206739637977772e-22,6.221129594074921e-21,0.9013177,1.8677711
ATP2A3,9.567359,1.240658,1.0967122019564882e-21,1.2893951172056122e-20,1.7898912,3.457888
CD55,9.501511,0.96475977,2.0686740638362356e-21,2.4041266782165863e-20,1.3918542,2.6241572
HSD17B11,9.465607,0.7249903,2.9186054614555788e-21,3.3724715754187e-20,1.0459399,2.064711
SMIM14,9.452206,1.4241848,3.317646900056988e-21,3.811754482469459e-20,2.0546644,4.15447
ARL11,9.425747,1.4310898,4.270568163255522e-21,4.885747741446863e-20,2.064626,4.1832557
PTK2B,9.420082,1.4981959,4.507362603439587e-21,5.149358945966273e-20,2.1614397,4.473611
TNFRSF1A,9.3748255,0.8588264,6.928999398607036e-21,7.860326986313066e-20,1.2390246,2.3603888
DUSP22,9.3642,1.0740676,7.662871785075908e-21,8.656365791336799e-20,1.549552,2.9272623
IQGAP1,9.295269,0.528549,1.4683440604430964e-20,1.6268607649106845e-19,0.76253504,1.696469
MT1F,9.209467,0.6560535,3.2774797154666925e-20,3.57249712035418e-19,0.9464851,1.9271717
NCOA4,9.194905,0.68094194,3.7532475102081e-20,4.0855768382683053e-19,0.98239154,1.9757379
CALCOCO2,9.115298,0.8362862,7.845462694594683e-20,8.381984415904928e-19,1.2065059,2.3077805
SCPEP1,9.056809,1.3389212,1.3432148517920834e-19,1.4163376446376837e-18,1.9316549,3.8149254
SERPING1,9.014669,0.9032404,1.9746475879137781e-19,2.0686418375589605e-18,1.3031005,2.4675863
SERPINB1,8.96021,0.8166987,3.240611440884756e-19,3.334320841786774e-18,1.1782471,2.2630165
SORT1,8.938758,0.86033773,3.935687744448808e-19,4.0289670357304215e-18,1.241205,2.363959
MAD1L1,8.936493,0.77225703,4.0171798898885653e-19,4.096813380130043e-18,1.1141313,2.1646464
ASCL2,8.929216,1.0973799,4.290351209426328e-19,4.369882310029817e-18,1.5831846,2.996305
ITPR2,8.919004,1.1042713,4.704997666442813e-19,4.7741540391782165e-18,1.5931267,3.017025
MOB3A,8.913488,1.1356192,4.945139620644186e-19,5.005249713777329e-18,1.6383522,3.1131003
ARID5A,8.891895,1.0258411,6.007514119475216e-19,6.039774042220764e-18,1.4799759,2.7894406
MBNL1,8.890779,0.5824237,6.068227385694812e-19,6.08407227968673e-18,0.8402598,1.7903725
PLEKHA2,8.878952,1.2900739,6.749296062443831e-19,6.7301313946122e-18,1.8611832,3.633055
ACAP2,8.837005,0.72266775,9.831940823131588e-19,9.720022769698143e-18,1.0425892,2.0599213
MARCH2,8.816413,1.6296939,1.1818496967060823e-18,1.1627040195243637e-17,2.3511512,5.1023126
UNC13D,8.786139,0.76504713,1.5478925889927377e-18,1.5154337504599203e-17,1.1037297,2.1490958
C1RL,8.772274,1.5656439,1.7509425468595054e-18,1.71008016335964e-17,2.2587466,4.7857556
CD59,8.688727,0.570826,3.665229856307316e-18,3.515921799215463e-17,0.8235278,1.7697282
NAT6,8.664566,1.2146529,4.532375827930005e-18,4.311896297077815e-17,1.7523737,3.3691244
LINC00467,8.614621,0.7257501,7.017311354001981e-18,6.605923520544755e-17,1.047036,2.0662806
DSC2,8.593167,1.0740758,8.460424198923057e-18,7.909125723923788e-17,1.5495639,2.9272861
ATP2B4,8.585413,1.4222955,9.051036120295381e-18,8.441711171319375e-17,2.0519385,4.146628
SH3BGRL,8.582596,0.61024296,9.27555954533238e-18,8.631185996272998e-17,0.8803945,1.8408786
HLA-C,8.577648,0.8392627,9.68324852550983e-18,8.989838889717574e-17,1.2108002,2.3146598
EPAS1,8.575261,1.3075807,9.886202375557642e-18,9.167721766633649e-17,1.8864402,3.6972184
MIR3945HG,8.437388,1.2921084,3.245056302587684e-17,2.9219977431438934e-16,1.8641185,3.640454
SDCCAG8,8.436103,0.79278797,3.2809517686700454e-17,2.947747211963065e-16,1.1437513,2.2095482
STK4,8.4149885,0.7064605,3.929339730387184e-17,3.5030107066597447e-16,1.019207,2.0268047
FCGRT,8.404621,0.7669903,4.2924543293186185e-17,3.805724875730679e-16,1.106533,2.1532757
ADGRE5,8.38097,1.2430489,5.249314453116608e-17,4.628680440810354e-16,1.7933404,3.4661655
IFI27L2,8.37196,1.2559447,5.66677240366411e-17,4.975056598303806e-16,1.8119452,3.511154
HLA-E,8.366717,1.1570089,5.924563714581426e-17,5.190097735647958e-16,1.669211,3.1804059
TBC1D10C,8.3581505,1.5740461,6.370901768914244e-17,5.563002550002199e-16,2.2708685,4.826136
CTD-2186M15.3,8.35057,1.0117795,6.793454929449155e-17,5.925565385006569e-16,1.4596894,2.7504911
GRN,8.275251,0.61905724,1.2818531105900832e-16,1.1049655895662861e-15,0.8931108,1.8571763
DGKZ,8.269591,0.6216626,1.3441845867853475e-16,1.1574604378960823e-15,0.8968696,1.8620212
RPS6KA1,8.267854,1.0839195,1.3639169125669215e-16,1.1732009481153382e-15,1.5637653,2.956244
RP11-693J15.6,8.241224,1.7016608,1.7045778222887348e-16,1.4553779144425065e-15,2.4549775,5.4830456
DAZAP2,8.213731,0.5916521,2.1442042981608466e-16,1.824946060721302e-15,0.85357356,1.8069713
SLC8B1,8.213443,1.4034545,2.1493518138084977e-16,1.8274015368559197e-15,2.024757,4.069233
CHN2,8.198828,1.2844136,2.4274248962647463e-16,2.059486437723777e-15,1.8530171,3.6125488
SKAP2,8.1771965,0.7709041,2.905229446964006e-16,2.454554209532247e-15,1.1121795,2.1617198
C6orf1,8.170012,0.68931115,3.083572432351741e-16,2.602509355914839e-15,0.99446577,1.9923427
BCL2L11,8.1553335,0.81189114,3.4821865130523457e-16,2.929752131867062e-15,1.1713113,2.2521632
WIPF1,8.118067,0.97677106,4.736699028621429e-16,3.964592544474123e-15,1.4091828,2.6558666
HYAL3,8.093422,1.023859,5.801151435519137e-16,4.8354902110101206e-15,1.4771163,2.7839174
DES,8.088747,1.4705633,6.028161291764187e-16,5.014362384508686e-15,2.1215744,4.351686
ACSL4,8.051615,1.2537513,8.170892986860634e-16,6.754995154030025e-15,1.8087808,3.5034604
TPP1,8.048674,0.8492224,8.369607509140859e-16,6.912200393796597e-15,1.225169,2.3378282
JMJD1C,8.02927,0.59012264,9.805419897715352e-16,8.048615499374685e-15,0.851367,1.8042097
ZEB2,8.028958,0.7297711,9.830404784091113e-16,8.060931922954713e-15,1.0528371,2.0746057
AP1S2,7.9918065,0.72476417,1.329757396477987e-15,1.0816163636810373e-14,1.0456136,2.0642443
ACAP1,7.986807,1.5177141,1.3847861061720314e-15,1.1229836726457328e-14,2.1895986,4.5617857
ORAI2,7.986341,0.76691014,1.3900273262310665e-15,1.1250921765625095e-14,1.1064174,2.153103
TMEM164,7.955425,0.8059563,1.7851820107008114e-15,1.427615356478263e-14,1.1627492,2.2388365
CEBPA,7.9221997,1.233881,2.3334526213309223e-15,1.8514044029950744e-14,1.7801139,3.4345329
PPM1N,7.900627,0.6813033,2.7750370554603906e-15,2.186729199702788e-14,0.9829129,1.9764521
HESX1,7.8941135,1.1884503,2.9238598541792456e-15,2.292817091476288e-14,1.7145714,3.2819912
PIM1,7.8689218,0.6572801,3.577114658677973e-15,2.78883736468552e-14,0.9482547,1.9295369
